layer,from_account,to_account,amount,case_id
1,A783466,A715247,27912.57,C1
2,A715247,A846667,50207.93,C1
3,A846667,CRYPTO3728,11809.08,C1
1,A782765,A101998,90384.68,C1
2,A101998,A351941,183426.19,C1
3,A351941,CRYPTO9767,166432.32,C1
1,A762779,A787264,148988.23,C1
2,A787264,A849257,5210.82,C1
3,A849257,A984533,89145.02,C1
4,A984533,A146074,188403.99,C1
5,A146074,CRYPTO9495,20929.22,C1
1,A139884,A676113,133565.88,C1
2,A676113,A806072,120479.16,C1
3,A806072,A337968,129320.13,C1
4,A337968,CRYPTO4199,15738.55,C1
1,A252334,A396053,18213.05,C1
2,A396053,A485256,116094.03,C1
3,A485256,A715230,71994.69,C1
4,A715230,CRYPTO8998,198449.97,C1
1,A287393,A205510,186394.38,C1
2,A205510,A540999,168556.43,C1
3,A540999,A434918,38907.42,C1
4,A434918,A884375,195702.72,C1
5,A884375,A834609,79772.24,C1
6,A834609,CRYPTO2673,86653.41,C1
1,A794259,A990114,40199.58,C1
2,A990114,A486961,30418.1,C1
3,A486961,A731580,34761.21,C1
4,A731580,A651012,26148.01,C1
5,A651012,CRYPTO2093,151660.91,C1
1,A555141,A545925,97263.63,C1
2,A545925,A984683,58748.63,C1
3,A984683,CRYPTO9460,194643.73,C1
1,A137172,A458651,62596.07,C1
2,A458651,A960159,63246.93,C1
3,A960159,A311724,19647.91,C1
4,A311724,A277536,142446.1,C1
5,A277536,CRYPTO4444,84065.16,C1
1,A939057,A646044,82775.98,C2
2,A646044,A731896,20309.45,C2
3,A731896,A812454,18980.23,C2
4,A812454,CRYPTO8615,109773.09,C2
1,A386708,A109114,9258.58,C2
2,A109114,A953483,61846.82,C2
3,A953483,A656343,92528.96,C2
4,A656343,A747815,148394.31,C2
5,A747815,CRYPTO5220,166231.9,C2
1,A614412,A325174,55225.87,C2
2,A325174,A277510,142595.41,C2
3,A277510,A137363,163835.12,C2
4,A137363,A212380,5372.61,C2
5,A212380,A931875,61561.6,C2
6,A931875,CRYPTO4414,16212.38,C2
1,A275199,A314377,150146.15,C2
2,A314377,A177939,48154.6,C2
3,A177939,A259374,50503.98,C2
4,A259374,A831398,110542.58,C2
5,A831398,A600966,77665.6,C2
6,A600966,CRYPTO2767,145766.94,C2
1,A329170,A832557,123826.14,C2
2,A832557,A151130,183641.35,C2
3,A151130,A869285,14793.41,C2
4,A869285,A883633,55481.28,C2
5,A883633,A815545,57324.59,C2
6,A815545,CRYPTO9248,176282.78,C2
1,A800577,A968048,9560.21,C2
2,A968048,A443683,82266.3,C2
3,A443683,A667560,70915.14,C2
4,A667560,A194352,198030.14,C2
5,A194352,CRYPTO3352,121959.66,C2
1,A715203,A449847,193970.94,C2
2,A449847,A811054,189482.21,C2
3,A811054,CRYPTO6613,50774.64,C2
1,A133373,A127835,75116.19,C2
2,A127835,A935207,193025.73,C2
3,A935207,A977914,174364.19,C2
4,A977914,A979765,169766.95,C2
5,A979765,CRYPTO2413,85319.47,C2
1,A725680,A851940,141234.05,C2
2,A851940,A501088,190954.12,C2
3,A501088,A361345,103197.4,C2
4,A361345,CRYPTO7407,164720.18,C2
1,A481927,A557632,192979.32,C2
2,A557632,A518345,25232.38,C2
3,A518345,A628117,174774.09,C2
4,A628117,A552476,180604.29,C2
5,A552476,A490147,156685.06,C2
6,A490147,CRYPTO3138,6623.68,C2
1,A904812,A512780,162960.22,C3
2,A512780,A732684,181770.8,C3
3,A732684,A974978,8811.2,C3
4,A974978,A321858,54574.88,C3
5,A321858,A599563,15201.59,C3
6,A599563,CRYPTO4086,186368.98,C3
1,A369559,A588877,72709.57,C3
2,A588877,A365722,22372.69,C3
3,A365722,CRYPTO4735,120207.18,C3
1,A773120,A568648,199227.83,C3
2,A568648,A926778,53320.22,C3
3,A926778,A612450,59767.07,C3
4,A612450,A445545,126710.35,C3
5,A445545,A626252,105508.5,C3
6,A626252,CRYPTO8037,15166.77,C3
1,A930123,A331096,18492.84,C3
2,A331096,A874958,90667.77,C3
3,A874958,A183131,28011.05,C3
4,A183131,A850886,96594.23,C3
5,A850886,CRYPTO2555,96813.31,C3
1,A117636,A600580,16291.53,C3
2,A600580,A574528,102340.18,C3
3,A574528,A283408,110768.83,C3
4,A283408,A492567,86855.87,C3
5,A492567,A480431,103061.62,C3
6,A480431,CRYPTO3888,189134.67,C3
1,A224301,A415628,115440.08,C3
2,A415628,A825366,67908.17,C3
3,A825366,CRYPTO6880,113389.45,C3
1,A682831,A489202,77011.09,C4
2,A489202,A294755,177269.57,C4
3,A294755,A819375,151085.02,C4
4,A819375,CRYPTO8370,14291.27,C4
1,A904583,A890476,155340.3,C4
2,A890476,A909668,68890.69,C4
3,A909668,A391608,32018.17,C4
4,A391608,A873249,194162.55,C4
5,A873249,CRYPTO3163,123513.62,C4
1,A450213,A903703,74763.85,C4
2,A903703,A215164,49088.03,C4
3,A215164,A580710,181535.09,C4
4,A580710,A293225,188397.34,C4
5,A293225,CRYPTO3039,188654.75,C4
1,A281385,A768271,57341.98,C4
2,A768271,A523424,122527.83,C4
3,A523424,A255824,170191.97,C4
4,A255824,A442421,15001.54,C4
5,A442421,CRYPTO7300,141035.22,C4
1,A978987,A103786,118393.16,C4
2,A103786,A164192,10642.84,C4
3,A164192,CRYPTO2574,76089.41,C4
1,A772462,A857945,22715.49,C4
2,A857945,A896145,39762.01,C4
3,A896145,A314041,94037.49,C4
4,A314041,A411519,103457.39,C4
5,A411519,A876594,155663.28,C4
6,A876594,CRYPTO8649,39048.1,C4
1,A877476,A764275,178463.02,C4
2,A764275,A143506,186222.32,C4
3,A143506,A526600,178134.21,C4
4,A526600,CRYPTO2134,188710.48,C4
1,A384279,A369188,29783.29,C4
2,A369188,A629926,142400.34,C4
3,A629926,A122712,6063.21,C4
4,A122712,A428362,59376.39,C4
5,A428362,A255707,124260.38,C4
6,A255707,CRYPTO1622,35919.19,C4
1,A293143,A460848,46790.92,C4
2,A460848,A312675,50135.24,C4
3,A312675,CRYPTO3285,188636.55,C4
1,A931636,A159063,79876.44,C4
2,A159063,A695030,109101.54,C4
3,A695030,CRYPTO3464,130959.95,C4
1,A175468,A568859,194000.09,C5
2,A568859,A875447,16148.67,C5
3,A875447,A305203,194201.7,C5
4,A305203,A990913,84879.35,C5
5,A990913,CRYPTO4636,98905.93,C5
1,A966161,A917053,193229.76,C5
2,A917053,A609300,162417.27,C5
3,A609300,A630133,181331.19,C5
4,A630133,A878261,55184.22,C5
5,A878261,CRYPTO7923,174772.17,C5
1,A379439,A695398,102677.18,C5
2,A695398,A589972,154194.52,C5
3,A589972,A631965,199899.45,C5
4,A631965,A805090,86691.81,C5
5,A805090,CRYPTO3993,95288.53,C5
1,A507249,A326905,146926.51,C5
2,A326905,A442172,167704.49,C5
3,A442172,A221359,78139.87,C5
4,A221359,A746720,132482.27,C5
5,A746720,A440182,129530.64,C5
6,A440182,CRYPTO1066,107782.98,C5
1,A299564,A956018,130525.82,C5
2,A956018,A434299,150344.12,C5
3,A434299,CRYPTO3099,167427.35,C5
1,A629590,A359338,69632.54,C5
2,A359338,A856638,27478.24,C5
3,A856638,A149187,148533.06,C5
4,A149187,A560341,197212.17,C5
5,A560341,CRYPTO7091,165676.31,C5
1,A361442,A620216,59466.03,C6
2,A620216,A842324,159955.62,C6
3,A842324,A320266,59821.36,C6
4,A320266,CRYPTO3572,126038.43,C6
1,A418649,A599338,151214.16,C6
2,A599338,A489173,190762.48,C6
3,A489173,A923330,162710.43,C6
4,A923330,CRYPTO3395,146160.89,C6
1,A798866,A276426,9386.7,C6
2,A276426,A724327,20362.23,C6
3,A724327,A317785,76704.42,C6
4,A317785,CRYPTO3922,44854.27,C6
1,A815553,A711023,25118.3,C6
2,A711023,A731572,190546.9,C6
3,A731572,A170065,120534.21,C6
4,A170065,A376906,143937.73,C6
5,A376906,CRYPTO4032,124961.5,C6
1,A342379,A463412,73770.31,C6
2,A463412,A764403,33817.85,C6
3,A764403,A711122,183619.02,C6
4,A711122,A745162,145197.26,C6
5,A745162,A124796,88076.61,C6
6,A124796,CRYPTO1366,136152.81,C6
1,A612295,A451012,83695.55,C7
2,A451012,A722455,189903.14,C7
3,A722455,CRYPTO6260,169413.19,C7
1,A553643,A756465,158114.54,C7
2,A756465,A264563,189209.18,C7
3,A264563,A252693,20737.04,C7
4,A252693,A493172,38273.64,C7
5,A493172,A692451,72589.56,C7
6,A692451,CRYPTO4426,143520.17,C7
1,A298235,A882113,15160.67,C7
2,A882113,A616953,193791.41,C7
3,A616953,A919367,175995.63,C7
4,A919367,CRYPTO6435,77418.65,C7
1,A989644,A356250,15106.16,C7
2,A356250,A708105,77441.08,C7
3,A708105,A761922,133721.31,C7
4,A761922,A521404,54381.31,C7
5,A521404,CRYPTO7598,110220.78,C7
1,A933977,A138790,171649.76,C7
2,A138790,A876205,165380.27,C7
3,A876205,CRYPTO4540,70104.77,C7
1,A777427,A373366,51685.4,C7
2,A373366,A777806,191485.34,C7
3,A777806,A471663,183801.84,C7
4,A471663,A449414,67623.1,C7
5,A449414,CRYPTO8397,50235.21,C7
1,A926948,A184821,55436.34,C7
2,A184821,A350744,65409.68,C7
3,A350744,CRYPTO7897,15170.39,C7
1,A840168,A143097,99244.59,C7
2,A143097,A878279,67062.91,C7
3,A878279,A613253,47650.97,C7
4,A613253,CRYPTO4334,136002.19,C7
1,A217209,A406401,69154.98,C7
2,A406401,A279708,193600.69,C7
3,A279708,A444396,32056.89,C7
4,A444396,CRYPTO7086,101672.79,C7
1,A870781,A398481,162801.38,C8
2,A398481,A439795,197128.93,C8
3,A439795,A896504,57524.42,C8
4,A896504,A183110,50471.15,C8
5,A183110,CRYPTO2310,124880.84,C8
1,A337529,A947485,167276.49,C8
2,A947485,A666545,19542.44,C8
3,A666545,CRYPTO4640,66214.44,C8
1,A702238,A366186,96433.96,C8
2,A366186,A118365,166820.51,C8
3,A118365,A932248,190227.29,C8
4,A932248,CRYPTO8920,28442.69,C8
1,A436508,A204713,149053.02,C8
2,A204713,A960203,172703.27,C8
3,A960203,A248754,44542.34,C8
4,A248754,CRYPTO1712,90017.33,C8
1,A216429,A912929,27398.39,C8
2,A912929,A227041,106671.75,C8
3,A227041,A559914,21087.61,C8
4,A559914,A164414,81645.46,C8
5,A164414,CRYPTO2120,72747.56,C8
1,A436745,A130473,123003.71,C8
2,A130473,A310499,39181.65,C8
3,A310499,A419624,193703.5,C8
4,A419624,A465703,106089.42,C8
5,A465703,A795186,99094.29,C8
6,A795186,CRYPTO5981,20543.6,C8
1,A927687,A238181,178806.49,C8
2,A238181,A532669,90042.82,C8
3,A532669,A942216,16463.86,C8
4,A942216,A526626,150323.92,C8
5,A526626,CRYPTO8398,105959.68,C8
1,A498857,A974307,197921.11,C8
2,A974307,A715825,176352.64,C8
3,A715825,CRYPTO4349,51130.89,C8
1,A413975,A346660,155525.6,C9
2,A346660,A966295,24811.24,C9
3,A966295,A352203,126416.32,C9
4,A352203,A488562,166797.47,C9
5,A488562,CRYPTO9592,14213.28,C9
1,A124576,A212516,124982.26,C9
2,A212516,A589250,190975.55,C9
3,A589250,A218640,172761.76,C9
4,A218640,CRYPTO9046,113127.88,C9
1,A579290,A602383,35543.78,C9
2,A602383,A145790,45906.71,C9
3,A145790,CRYPTO3066,67785.02,C9
1,A892526,A120603,187762.39,C9
2,A120603,A664137,15671.83,C9
3,A664137,A352915,130270.05,C9
4,A352915,A737729,107291.22,C9
5,A737729,CRYPTO2989,150977.15,C9
1,A199131,A792886,108846.04,C9
2,A792886,A988077,143260.63,C9
3,A988077,A635818,129479.96,C9
4,A635818,CRYPTO6930,193747.25,C9
1,A350852,A265381,149897.89,C9
2,A265381,A942515,181274.0,C9
3,A942515,A300214,47621.64,C9
4,A300214,A341258,186797.02,C9
5,A341258,A165292,29593.52,C9
6,A165292,CRYPTO9832,70649.64,C9
1,A244833,A733431,176955.66,C9
2,A733431,A840533,122563.66,C9
3,A840533,A199577,194671.22,C9
4,A199577,A316991,166422.48,C9
5,A316991,CRYPTO6902,14134.59,C9
1,A693672,A801278,110239.39,C9
2,A801278,A955736,185535.32,C9
3,A955736,A458705,125859.79,C9
4,A458705,A403969,21381.96,C9
5,A403969,A828057,9657.78,C9
6,A828057,CRYPTO1904,92942.2,C9
1,A862432,A751221,190762.81,C9
2,A751221,A383987,169983.83,C9
3,A383987,A502067,149055.4,C9
4,A502067,A322751,176432.54,C9
5,A322751,CRYPTO3987,177723.1,C9
1,A173615,A114421,156582.58,C9
2,A114421,A478757,65323.36,C9
3,A478757,CRYPTO7530,98921.77,C9
1,A501440,A278805,193280.48,C10
2,A278805,A209012,16258.2,C10
3,A209012,A365735,72167.62,C10
4,A365735,CRYPTO7994,125341.27,C10
1,A820300,A861294,131005.46,C10
2,A861294,A721780,168550.88,C10
3,A721780,A486038,15467.25,C10
4,A486038,A641796,42633.63,C10
5,A641796,CRYPTO2052,164837.26,C10
1,A108768,A557679,72992.6,C10
2,A557679,A221221,134634.81,C10
3,A221221,CRYPTO8162,12673.96,C10
1,A484040,A443359,84707.48,C10
2,A443359,A868975,131342.08,C10
3,A868975,A374007,156823.48,C10
4,A374007,A715908,63988.72,C10
5,A715908,CRYPTO3233,81056.27,C10
1,A546236,A366527,129277.35,C10
2,A366527,A526360,25612.09,C10
3,A526360,A735674,131752.28,C10
4,A735674,A244481,57065.97,C10
5,A244481,A876710,100136.98,C10
6,A876710,CRYPTO6882,162727.74,C10
1,A711778,A905570,62503.93,C11
2,A905570,A576178,166042.6,C11
3,A576178,CRYPTO6838,44409.1,C11
1,A440792,A624702,19118.36,C11
2,A624702,A217633,36823.55,C11
3,A217633,A340418,99156.86,C11
4,A340418,CRYPTO1131,188925.45,C11
1,A865348,A580512,135272.81,C11
2,A580512,A105773,95500.91,C11
3,A105773,CRYPTO6796,82734.35,C11
1,A941421,A676425,134563.26,C11
2,A676425,A651842,112954.39,C11
3,A651842,A741348,46903.51,C11
4,A741348,A945199,65833.62,C11
5,A945199,CRYPTO4614,156631.24,C11
1,A129533,A648000,146531.04,C11
2,A648000,A211670,56942.63,C11
3,A211670,A784402,150552.24,C11
4,A784402,A151860,120427.51,C11
5,A151860,A870030,96010.96,C11
6,A870030,CRYPTO5575,134674.64,C11
1,A836164,A950755,163118.72,C11
2,A950755,A476179,152533.78,C11
3,A476179,A752631,120458.08,C11
4,A752631,A356904,103393.02,C11
5,A356904,CRYPTO1893,29194.44,C11
1,A483849,A809298,147088.42,C11
2,A809298,A838772,97573.78,C11
3,A838772,CRYPTO6905,112452.83,C11
1,A750789,A644380,178773.23,C11
2,A644380,A953399,92743.6,C11
3,A953399,A676544,38623.2,C11
4,A676544,CRYPTO1318,5456.7,C11
1,A591191,A317651,56869.65,C11
2,A317651,A850716,187343.83,C11
3,A850716,A768773,155936.67,C11
4,A768773,A984800,80761.22,C11
5,A984800,CRYPTO1743,53680.2,C11
1,A789678,A101646,20623.98,C11
2,A101646,A182913,198180.42,C11
3,A182913,CRYPTO1414,167890.45,C11
1,A996290,A937707,105516.96,C12
2,A937707,A208052,186884.6,C12
3,A208052,A478991,118546.06,C12
4,A478991,CRYPTO7057,24786.4,C12
1,A389149,A813646,118647.89,C12
2,A813646,A719725,133010.48,C12
3,A719725,A555287,125265.53,C12
4,A555287,A474953,39199.08,C12
5,A474953,CRYPTO4179,136944.36,C12
1,A308943,A873324,185646.06,C12
2,A873324,A784248,83269.26,C12
3,A784248,CRYPTO7776,109648.3,C12
1,A686638,A124264,56256.76,C12
2,A124264,A318160,25201.67,C12
3,A318160,A583687,61724.38,C12
4,A583687,A229325,95546.58,C12
5,A229325,A487577,161510.86,C12
6,A487577,CRYPTO3822,42727.02,C12
1,A303066,A215114,192144.96,C12
2,A215114,A370633,7901.22,C12
3,A370633,A498938,67855.08,C12
4,A498938,A839111,192478.18,C12
5,A839111,A268848,19433.06,C12
6,A268848,CRYPTO3626,5453.88,C12
1,A242156,A158796,114353.39,C12
2,A158796,A735793,149482.07,C12
3,A735793,CRYPTO8700,57768.26,C12
1,A898012,A220638,83617.34,C12
2,A220638,A217942,15029.3,C12
3,A217942,A448761,185692.71,C12
4,A448761,A449883,92204.52,C12
5,A449883,CRYPTO3742,45773.72,C12
1,A232041,A517257,89592.48,C12
2,A517257,A639989,199525.34,C12
3,A639989,A794415,23105.52,C12
4,A794415,A612729,12345.14,C12
5,A612729,A838049,150283.67,C12
6,A838049,CRYPTO6511,173159.22,C12
1,A776231,A235999,57449.8,C12
2,A235999,A942039,112974.48,C12
3,A942039,A399372,188075.82,C12
4,A399372,A488256,81060.83,C12
5,A488256,A257840,187106.49,C12
6,A257840,CRYPTO1146,84163.78,C12
1,A795741,A748735,61211.7,C12
2,A748735,A878967,5932.18,C12
3,A878967,A546180,199713.77,C12
4,A546180,A712455,68974.64,C12
5,A712455,A422259,184420.89,C12
6,A422259,CRYPTO8836,105710.79,C12
1,A613416,A518640,46269.83,C13
2,A518640,A995602,141577.72,C13
3,A995602,CRYPTO6813,26894.78,C13
1,A150256,A826867,154307.44,C13
2,A826867,A937645,5453.2,C13
3,A937645,A943695,17860.85,C13
4,A943695,A119055,83390.26,C13
5,A119055,CRYPTO2431,141469.69,C13
1,A205333,A596586,36601.31,C13
2,A596586,A386239,130117.98,C13
3,A386239,A365416,168878.42,C13
4,A365416,A291936,191459.62,C13
5,A291936,A112419,17935.91,C13
6,A112419,CRYPTO5488,190019.38,C13
1,A780430,A563057,66890.12,C13
2,A563057,A866235,86483.94,C13
3,A866235,A292610,81891.06,C13
4,A292610,A299021,29207.94,C13
5,A299021,CRYPTO4581,134672.21,C13
1,A721893,A925630,76145.57,C13
2,A925630,A861458,162597.91,C13
3,A861458,A393449,149212.94,C13
4,A393449,CRYPTO5337,194527.88,C13
1,A658586,A538919,76206.93,C13
2,A538919,A217166,89492.42,C13
3,A217166,A295555,192127.66,C13
4,A295555,CRYPTO3846,130816.67,C13
1,A220750,A281160,106887.32,C14
2,A281160,A785550,27325.14,C14
3,A785550,A954339,106917.14,C14
4,A954339,A106733,83869.03,C14
5,A106733,CRYPTO3354,105576.56,C14
1,A254026,A303497,106726.27,C14
2,A303497,A997138,170937.79,C14
3,A997138,A114774,94537.9,C14
4,A114774,A652415,117161.33,C14
5,A652415,CRYPTO2188,154417.86,C14
1,A991043,A165773,22585.18,C14
2,A165773,A385004,180044.43,C14
3,A385004,A461984,49848.62,C14
4,A461984,CRYPTO8009,123138.63,C14
1,A850592,A339602,31062.69,C14
2,A339602,A645053,37941.87,C14
3,A645053,A816086,36306.38,C14
4,A816086,A538009,138772.3,C14
5,A538009,A149601,24651.93,C14
6,A149601,CRYPTO9564,64923.65,C14
1,A667403,A440744,21641.63,C14
2,A440744,A829303,158417.49,C14
3,A829303,A235479,41348.48,C14
4,A235479,A109620,193646.54,C14
